restaurant,information
1. Apizza Regionale,"5.0 of 5 bubbles268 reviewsClosed NowItalian, Pizza$$ - $$$Menu"
2. Dinosaur Bar-B-Que,"4.5 of 5 bubbles2,768 reviewsClosed NowAmerican, Bar$$ - $$$Menu"
3. Eva's European Sweets,"4.5 of 5 bubbles232 reviewsClosed NowPolish, European$$ - $$$Menu"
4. Kitty Hoynes Irish Pub & Restaurant,"4.5 of 5 bubbles705 reviewsClosed NowIrish, Bar$$ - $$$Menu"
5. Joey's Classic Italian Dining,"4.5 of 5 bubbles609 reviewsClosed NowItalian, Asian$$ - $$$Menu"
6. Santangelo's Restaurant,4.5 of 5 bubbles449 reviewsClosed TodayItalian$$ - $$$3.9 miLiverpool
7. Pastabilities,"4.5 of 5 bubbles1,275 reviewsClosed NowItalian, Fusion$$ - $$$Menu"
8. Stella's Diner,"4.5 of 5 bubbles621 reviewsClosed NowAmerican, Diner$Menu"
9. Francesca's Cucina,4.5 of 5 bubbles634 reviewsClosed NowItalian$$ - $$$Menu
10. Delmonico's Italian Steakhouse,"4.0 of 5 bubbles438 reviewsClosed NowItalian, American$$ - $$$Menu"
11. Finally Ours,"4.5 of 5 bubbles139 reviewsClosed NowAmerican, Diner$$ - $$$6.7 miMarcellus"
12. Lemon Grass Restaurant,"4.0 of 5 bubbles378 reviewsClosed NowSeafood, Asian$$$$"
13. Daniella's Steakhouse,"4.5 of 5 bubbles341 reviewsClosed NowAmerican, Steakhouse$$ - $$$"
14. Pronto Joey's,4.5 of 5 bubbles183 reviewsClosed NowItalian$$ - $$$Menu
15. Copper Top Tavern North Syracuse,"4.0 of 5 bubbles294 reviewsClosed NowAmerican, Bar$$ - $$$Menu6.7 miNorth Syracuse"
16. Phoebe's Restaurant & Coffee Lounge,4.5 of 5 bubbles194 reviewsClosed NowAmerican$$ - $$$Menu
17. Tully's Good Times Liverpool,"4.0 of 5 bubbles324 reviewsClosed NowAmerican, Bar$$ - $$$Menu3 miLiverpool"
18. Avicolli's Restaurant,"4.5 of 5 bubbles221 reviewsClosed NowItalian, Pizza$$ - $$$8.1 miLiverpool"
19. Dark Horse Tavern,"4.5 of 5 bubbles138 reviewsClosed NowAmerican, Bar$$ - $$$Menu"
20. Mother's Cupboard Fish Fry,"4.5 of 5 bubbles157 reviewsClosed NowAmerican, Diner$"
21. Copper Top Tavern Camillus,"4.5 of 5 bubbles182 reviewsClosed NowAmerican, Bar$$ - $$$Menu"
22. The Fish Friar,"4.5 of 5 bubbles101 reviewsClosed NowAmerican, Seafood$$ - $$$Menu"
23. Bull & Bear Roadhouse,"4.0 of 5 bubbles247 reviewsOpen NowAmerican, Bar$$ - $$$Menu4.8 miDeWitt"
24. The Cider Mill,4.5 of 5 bubbles159 reviewsClosed NowAmerican$$ - $$$Menu
25. The Cheesecake Factory,4.0 of 5 bubbles330 reviewsClosed NowAmerican$$ - $$$Menu
26. Arad Evans Inn,"4.5 of 5 bubbles188 reviewsClosed NowItalian, French$$$$6.4 miFayetteville"
27. Azteca Mexican Grill,"4.5 of 5 bubbles163 reviewsClosed NowMexican, Southwestern$$ - $$$6 miCamillus"
28. Grotto,4.5 of 5 bubbles80 reviewsClosed NowItalian$$ - $$$6 miNorth Syracuse
29. 317 @ Montgomery,"4.5 of 5 bubbles140 reviewsClosed NowAmerican, Contemporary$$$$Menu"
30. Texas de Brazil - Syracuse,"4.0 of 5 bubbles266 reviewsClosed NowSteakhouse, Brazilian$$$$Menu"
